title,address,lat,lng,type,place_id_search
ChargePoint Charging Station,"1148 12th St, Paso Robles, CA 93446",35.6267962,-120.68715619999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecc5686eb189c5%3A0xb4413fb2e904a2cc%218m2%213d35.6267962%214d-120.68715619999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"Bradley Dr, Jolon, CA 93928",36.0061015,-121.23601099999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x8092eb171184a6bf%3A0xadd0a38feeacfc0c%218m2%213d36.0061015%214d-121.23601099999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"2615 Buena Vista Dr, Paso Robles, CA 93446",35.6450731,-120.6714064,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80eccf812de1aa39%3A0x690435c88d2e87fc%218m2%213d35.6450731%214d-120.6714064&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"624 Pine St, Paso Robles, CA 93446",35.6214763,-120.68811889999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecc56a12359e5d%3A0xbfbb641c06b9fa04%218m2%213d35.6214763%214d-120.68811889999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"560 Canal St, King City, CA 93930",36.204577,-121.130749,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x8092f1217e8647a7%3A0x86855d0d12b89f8%218m2%213d36.204577%214d-121.130749&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"16261 CA-46, Shandon, CA 93461",35.675115,-120.346632,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecbb35a8f465c7%3A0xfa9ae9b3f323c7ef%218m2%213d35.675115%214d-120.346632&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"25032 W Dorris Ave, Coalinga, CA 93210",36.254829,-120.2487003,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x809360ca816fe313%3A0x914742ac3b89b13d%218m2%213d36.254829%214d-120.2487003&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"522 N 2nd St, King City, CA 93930",36.2188692,-121.1278725,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x8092f12a4b9938ad%3A0x701a6d70414f5dbc%218m2%213d36.2188692%214d-121.1278725&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"Carmel-By-The-Sea, CA 93923",36.513429099999996,-121.7964738,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x808df1e85355422f%3A0x786142834e302c85%218m2%213d36.513429099999996%214d-121.7964738&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"615 Canal St, King City, CA 93930",36.202688699999996,-121.1283854,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x8092f121d432eaeb%3A0xa47665220b5e793%218m2%213d36.202688699999996%214d-121.1283854&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"22412 El Camino Real, Santa Margarita, CA 93453",35.391130499999996,-120.6095045,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecec2ff68e90ed%3A0xa37cff783138271d%218m2%213d35.391130499999996%214d-120.6095045&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"860 Pacific St, San Luis Obispo, CA 93401",35.278954999999996,-120.6608801,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecf103666ca8ef%3A0x6e241c1859441477%218m2%213d35.278954999999996%214d-120.6608801&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"University Dr, San Luis Obispo, CA 93405",35.3025964,-120.66350159999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecf1b48c097085%3A0x3c7e792d701ca420%218m2%213d35.3025964%214d-120.66350159999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"San Jose, CA 95136",37.2768708,-121.8741409,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x808e33a34ddd6441%3A0x7d051ea298bd7cc2%218m2%213d37.2768708%214d-121.8741409&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"657 Sunset St, Coalinga, CA 93210",36.142319,-120.36442,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x8093434067dbb80d%3A0xd53dc90fea9fec31%218m2%213d36.142319%214d-120.36442&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"Tahoe Rd, San Luis Obispo, CA 93405",35.2983562,-120.657602,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecf1b1d5981d33%3A0xd279c294c4eaebfd%218m2%213d35.2983562%214d-120.657602&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"3190 S Higuera St, San Luis Obispo, CA 93401",35.2571927,-120.66964709999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecf0d9a5edd72d%3A0x88dfbc49be6ff9a5%218m2%213d35.2571927%214d-120.66964709999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"12100 Los Osos Valley Rd, San Luis Obispo, CA 93405",35.2504364,-120.68507899999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80ecf0c89bfb6ea3%3A0x37c85c5dd3a300af%218m2%213d35.2504364%214d-120.68507899999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"7230 Northwest Loop 410, San Antonio, TX 78245",29.450616,-98.630213,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x865c5cef7c3c6e61%3A0x2d5d2103af01b751%218m2%213d29.450616%214d-98.630213&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"3838 Rogers Rd, San Antonio, TX 78251",29.470509,-98.68968799999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x865c42ef7b3b37b3%3A0x49bb6c5a107c2f0c%218m2%213d29.470509%214d-98.68968799999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"7230 Northwest Loop 410, San Antonio, TX 78245",29.450989,-98.630736,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x865c5ce589a3ff2d%3A0x1c5540aab24b20f1%218m2%213d29.450989%214d-98.630736&engine=google_maps&google_domain=google.com&hl=en&type=place
